DEPTH,GR
215.646,13.442
215.798,13.684
215.951,13.15
216.103,13.541
216.255,13.395
216.408,11.376
216.56,8.996
216.713,8.648
216.865,8.299
217.017,7.459
217.17,7.942
217.322,9.675
217.475,9.953
217.627,9.533
217.779,8.944
217.932,8.904
218.084,9.131
218.237,9.465
218.389,9.729
218.541,9.466
218.694,8.886
218.846,8.125
218.999,7.453
219.151,7.218
219.303,7.863
219.456,8.386
219.608,8.945
219.761,8.598
219.913,8.391
220.065,7.376
220.218,7.019
220.37,6.9
220.523,7.19
220.675,7.784
220.827,9.913
220.98,10.989
221.132,12.372
221.285,13.991
221.437,15.263
221.589,15.694
221.742,15.643
221.894,14.157
222.047,14.03
222.199,13.694
222.351,12.262
222.504,10.725
222.656,10.73
222.809,11.247
222.961,10.492
223.113,9.938
223.266,9.961
223.418,9.276
223.571,9.187
223.723,9.453
223.875,11.389
224.028,11.712
224.18,10.446
224.333,8.902
224.485,8.378
224.637,8.293
224.79,8.328
224.942,8.764
225.095,9.79
225.247,9.722
225.399,10.066
225.552,11.431
225.704,12.518
225.857,11.892
226.009,10.781
226.161,10.83
226.314,11.952
226.466,12.658
226.619,11.724
226.771,10.11
226.923,9.598
227.076,10.054
227.228,10.667
227.381,11.533
227.533,11.654
227.685,11.994
227.838,12.88
227.99,13.388
228.143,13.059
228.295,11.652
228.447,10.632
228.6,11.348
228.752,12.176
228.905,12.368
229.057,12.27
229.209,12.874
229.362,13.656
229.514,13.788
229.667,13.257
229.819,12.18
229.971,12.464
230.124,14.278
230.276,15.534
230.429,15.74
230.581,14.886
230.733,13.611
230.886,12.13
231.038,10.748
231.191,9.783
231.343,9.239
231.495,9.024
231.648,8.844
231.8,9.238
231.953,8.718
232.105,7.883
232.257,8.014
232.41,9.558
232.562,10.777
232.715,12.168
232.867,11.833
233.019,7.725
233.172,7.303
233.324,7.52
233.477,8.611
233.629,9.808
233.781,10.186
233.934,9.633
234.086,8.976
234.239,9.756
234.391,10.748
234.543,10.587
234.696,9.195
234.848,10.394
235.001,12.043
235.153,12.738
235.305,12.545
235.458,11.357
235.61,10.423
235.763,9.703
235.915,9.416
236.067,9.521
236.22,9.749
236.372,10.566
236.525,10.959
236.677,11.076
236.829,11.037
236.982,11.125
237.134,10.817
237.287,9.991
237.439,9.541
237.591,8.674
237.744,8.446
237.896,8.583
238.049,8.862
238.201,10.12
238.353,10.859
238.506,11.226
238.658,10.461
238.811,10.721
238.963,10.785
239.115,10.799
239.268,9.145
239.42,7.961
239.573,8.208
239.725,9.398
239.877,10.469
240.03,11.114
240.182,11.086
240.335,10.612
240.487,10.556
240.639,10.894
240.792,9.6
240.944,8.647
241.097,8.961
241.249,10.516
241.401,11.653
241.554,12.262
241.706,12.037
241.859,9.645
242.011,8.745
242.163,8.798
242.316,10.358
242.468,11.174
242.621,10.705
242.773,9.452
242.925,9.35
243.078,9.946
243.23,8.739
243.383,7.129
243.535,5.655
243.687,5.592
243.84,6.03
243.992,6.957
244.145,8.78
244.297,9.988
244.449,8.85
244.602,7.091
244.754,6.503
244.907,7.585
245.059,9.726
245.211,11.56
245.364,12.058
245.516,11.765
245.669,10.289
245.821,9.972
245.973,10.387
246.126,12.657
246.278,17.302
246.431,23.083
246.583,28.248
246.735,32.673
246.888,32.094
247.04,29.36
247.193,24.446
247.345,20.119
247.497,15.662
247.65,10.835
247.802,9.875
247.955,10.613
248.107,12.763
248.259,14.352
248.412,13.222
248.564,9.991
248.717,7.947
248.869,7.977
249.021,8.489
249.174,9.371
249.326,9.551
249.479,9.595
249.631,9.379
249.783,9.4
249.936,9.387
250.088,9.405
250.241,8.821
250.393,9.362
250.545,9.324
250.698,7.66
250.85,6.791
251.003,6.972
251.155,8.616
251.307,10.551
251.46,11.91
251.612,11.344
251.765,10.593
251.917,8.862
252.069,9.59
252.222,10.689
252.374,10.616
252.527,9.624
252.679,8.26
252.831,8.03
252.984,8.247
253.136,8.673
253.289,9.381
253.441,10.133
253.593,10.279
253.746,10.027
253.898,8.508
254.051,6.672
254.203,6.507
254.355,6.647
254.508,7.196
254.66,8.182
254.813,9.368
254.965,10.48
255.117,10.55
255.27,10.462
255.422,9.375
255.575,7.335
255.727,7.685
255.879,8.485
256.032,8.805
256.184,8.59
256.337,9.126
256.489,11.2
256.641,12.135
256.794,11.916
256.946,10.382
257.099,9.03
257.251,8.863
257.403,8.947
257.556,9.093
257.708,9.897
257.861,10.43
258.013,10.095
258.165,8.313
258.318,8.313
258.47,9.413
258.623,10.444
258.775,9.669
258.927,9.564
259.08,9.914
259.232,9.09
259.385,7.548
259.537,7.801
259.689,9.768
259.842,11.194
259.994,11.493
260.147,10.822
260.299,10.14
260.451,10.306
260.604,10.417
260.756,10.703
260.909,12.052
261.061,11.628
261.213,9.09
261.366,8.619
261.518,9.606
261.671,9.678
261.823,9.404
261.975,8.592
262.128,6.811
262.28,5.871
262.433,5.602
262.585,5.505
262.737,7.024
262.89,8.79
263.042,9.584
263.195,9.55
263.347,10.026
263.499,10.449
263.652,10.137
263.804,7.534
263.957,6.464
264.109,6.576
264.261,6.361
264.414,6.552
264.566,8.023
264.719,9.302
264.871,9.297
265.023,8.94
265.176,10.807
265.328,12.067
265.481,11.273
265.633,9.382
265.785,8.723
265.938,8.961
266.09,9.155
266.243,8.911
266.395,9.369
266.547,10.846
266.7,11.354
266.852,11.461
267.005,9.87
267.157,7.743
267.309,7.369
267.462,10.431
267.614,11.318
267.767,11.031
267.919,9.529
268.071,7.783
268.224,6.937
268.376,7.18
268.529,7.845
268.681,8.561
268.833,8.538
268.986,8.475
269.138,8.472
269.291,9.007
269.443,9.12
269.595,8.361
269.748,8.21
269.9,9.77
270.053,12.18
270.205,14.89
270.357,15.626
270.51,15.375
270.662,15.337
270.815,15.678
270.967,15.575
271.119,14.471
271.272,12.623
271.424,11.12
271.577,10.847
271.729,10.891
271.881,11.114
272.034,11.151
272.186,11.114
272.339,11.141
272.491,11.054
272.643,10.408
272.796,8.488
272.948,7.594
273.101,8.684
273.253,11.377
273.405,12.531
273.558,10.542
273.71,7.969
273.863,7.957
274.015,9.46
274.167,11.453
274.32,13.04
274.472,13.609
274.625,13.451
274.777,13.266
274.929,12.522
275.082,12.384
275.234,13.384
275.387,14.213
275.539,14.393
275.691,14.394
275.844,14.118
275.996,13.165
276.149,11.73
276.301,10.753
276.453,11.073
276.606,11.824
276.758,12.215
276.911,11.984
277.063,11.804
277.215,12.743
277.368,13.606
