DEPTH,GR
455.372,12.438
455.525,12.859
455.677,10.914
455.829,10.695
455.982,10.484
456.134,11.367
456.286,10.219
456.439,9.766
456.591,10.508
456.744,10.922
456.896,11.031
457.049,10.711
457.201,10.086
457.353,11.055
457.506,10.289
457.658,11.664
457.811,10.93
457.963,10.641
458.115,9.773
458.268,9.773
458.42,10.195
458.573,11.273
458.725,11.273
458.877,11.836
459.03,11.297
459.182,12.031
459.335,11.477
459.487,11.156
459.639,9.523
459.792,9.938
459.944,10.148
460.096,10.734
460.249,11.313
460.401,12.898
460.554,13.102
460.706,11.789
460.859,9.984
461.011,11.344
461.163,13.234
461.316,14.617
461.468,14.836
461.621,14.695
461.773,13.531
461.925,13.531
462.078,12.633
462.23,13.063
462.383,11.156
462.535,11.156
462.687,11.156
462.84,11.68
462.992,11.867
463.145,12.391
463.297,13.289
463.449,13.07
463.602,13.594
463.754,12.375
463.907,11.961
464.059,10.273
464.211,11.039
464.364,12.094
464.516,12.938
464.669,12.391
464.821,11.859
464.973,11.547
465.126,12.219
465.278,11.484
465.431,11.797
465.583,11.578
465.735,12.219
465.888,10.859
466.04,12.414
466.193,11.875
466.345,12.297
466.497,10.406
466.65,10.297
466.802,10.93
466.955,11.141
467.107,11.813
467.259,11.172
467.412,11.281
467.564,10.828
467.717,11.156
467.869,11.477
468.021,11.797
468.174,12.461
468.326,14.25
468.479,14.242
468.631,14.469
468.783,13.508
468.936,14.773
469.088,14.398
469.241,13.266
469.393,13.055
469.545,12.414
469.698,13.242
469.85,13.133
470.003,14.711
470.155,14.656
470.307,14.445
470.46,14.664
470.612,14.609
470.765,13.773
470.917,12.727
471.069,12.094
471.222,13.438
471.374,13.328
471.527,14.25
471.679,14.266
471.831,14.375
471.984,14.156
472.136,14.148
472.289,14.68
472.441,13.773
472.593,15.148
472.746,14.328
472.898,16.531
473.051,15.055
473.203,17.078
473.355,16.547
473.508,16.516
473.66,14.781
473.813,14.766
473.965,13.867
474.117,13.867
474.27,13.563
474.422,15.305
474.575,16.469
474.727,16.781
474.879,17.203
475.032,17.859
475.184,19.016
475.337,16.5
475.489,16.266
475.641,15.227
475.794,16.578
475.946,16.25
476.099,15
476.251,14.273
476.403,12.383
476.556,12.383
476.708,13.32
476.861,13.102
477.013,12.883
477.165,12.047
477.318,13.633
477.47,13.773
477.623,15.141
477.775,14.289
477.927,13.633
478.08,11.57
478.232,10.625
478.385,11.992
478.537,12.602
478.689,14.82
478.842,13.352
478.994,13.352
479.147,12.906
479.299,13.961
479.451,13.336
479.604,13.352
479.756,14.188
479.909,14.383
480.061,12.602
480.213,12.5
480.366,12.422
480.518,14.305
480.671,13.148
480.823,12.695
480.975,12.703
481.128,12.492
481.28,14.727
481.433,13.039
481.585,12.938
481.737,12.086
481.89,14.703
482.042,14.281
482.195,14.492
482.347,13.438
482.499,14.438
482.652,15.391
482.804,14.867
482.957,15.242
483.109,13.82
483.261,14.344
483.414,14.141
483.566,12.398
483.719,13.148
483.871,13.531
484.023,14.695
484.176,13.531
484.328,13.203
484.481,14.258
484.633,14.258
484.785,14.195
484.938,12.609
485.09,13.242
485.243,13.242
485.395,13.688
485.547,12.664
485.7,12.563
485.852,12.242
486.005,14.938
486.157,14.289
486.309,15.836
486.462,13.523
486.614,13.633
486.767,13.531
486.919,12.797
487.071,12.477
487.224,11.359
487.376,10.617
487.529,10.516
487.681,11.297
487.833,11.398
487.986,13.07
488.138,11.852
488.291,12.805
488.443,12.57
488.595,13
488.748,12.469
488.9,11.344
489.053,11.555
489.205,11.766
489.357,11.656
489.51,11.344
489.662,10.813
489.815,12.719
489.967,13.453
490.119,13.891
490.272,11.359
490.424,9.789
490.577,10.352
490.729,11.406
490.881,11.727
491.034,12.531
491.186,12.117
491.339,12.547
491.491,11.586
491.643,11.367
491.796,11.367
491.948,12.219
492.101,11.984
492.253,12.188
492.405,10.492
492.558,11.055
492.71,12.422
492.863,12.867
493.015,13.281
493.167,12.648
493.32,12.734
493.472,12.891
493.625,12.367
493.777,13.516
493.929,14.18
494.082,13.344
494.234,12.594
494.387,11.68
494.539,11.984
494.691,11.594
494.844,11.172
494.996,10.961
495.149,11.188
495.301,12.672
495.453,14.563
495.606,14.844
495.758,13.68
495.911,14
496.063,14.273
496.215,14.281
496.368,12.383
496.52,11.906
496.673,12.258
496.825,12.164
496.977,11.633
497.13,11.07
497.282,10.859
497.435,12.203
497.587,12.398
497.739,12.922
497.892,11.461
498.044,11.57
498.197,13.258
498.349,14.422
498.501,13.453
498.654,12.602
498.806,12.461
498.959,13.43
499.111,12.578
499.263,12.781
499.416,11.406
499.568,11.305
499.721,10.633
499.873,11.367
500.025,11.5
500.178,11.039
500.33,11.375
500.483,10.922
500.635,11.773
500.787,12.102
500.94,13.461
501.092,11.398
501.245,10.852
501.397,9.695
501.549,12.922
501.702,13.969
501.854,14.813
502.007,12.141
502.159,12.039
502.311,13.289
502.464,13.969
502.616,13.852
502.769,13.883
502.921,13.867
503.073,13.445
503.226,12.219
503.378,12.648
503.531,12.969
503.683,12.195
503.835,12.414
503.988,13.367
504.14,13.594
504.293,13.477
504.445,12.125
504.597,13.461
504.75,13.391
504.902,14.211
505.055,14.422
505.207,13.641
505.359,11.648
505.512,10.813
505.664,11.883
505.817,12.93
505.969,12.781
506.121,12.984
506.274,14.555
506.426,14.922
506.579,16.297
506.731,16.719
506.883,17.359
507.036,17.234
507.188,17.25
507.341,17.438
507.493,16.188
507.645,16.438
507.798,15.805
507.95,15.602
508.103,14.031
508.255,14.555
508.407,13.813
508.56,14.594
508.712,12.492
508.865,13.016
509.017,11.977
509.169,12.766
509.322,12.977
509.474,12.867
509.627,11.977
509.779,10.914
509.931,10.906
510.084,11.43
510.236,13.328
510.389,12.258
510.541,12.477
510.693,10.688
510.846,11.984
510.998,11.461
511.151,11.57
511.303,11.352
511.455,11.797
511.608,12.531
511.76,12.109
511.913,12.766
512.065,13.07
512.217,13.914
512.37,13.125
512.522,12.289
512.675,10.914
512.827,11.148
512.979,11.57
513.132,13.578
513.284,13.117
513.437,13.375
513.589,12.539
513.741,13.766
513.894,12.141
514.046,12.336
514.199,11.352
514.351,12.398
514.503,11.672
514.656,13.117
514.808,14.258
514.961,14.359
515.113,11.945
515.265,10.703
515.418,11.656
515.57,13.227
515.723,13.445
515.875,12.289
516.027,11.344
516.18,10.703
516.332,11.031
516.485,11.25
516.637,12.688
516.789,12.891
516.942,12.367
517.094,12.508
517.247,12.773
517.399,13.938
517.551,12.891
517.704,12.938
517.856,13.563
518.009,13.563
518.161,13.352
518.313,11.891
518.466,11.789
518.618,11.898
518.771,12.32
518.923,12.32
519.075,11.688
519.228,10.523
519.38,10.086
519.533,11.453
519.685,12.289
519.837,13.344
519.99,12.555
520.142,12.773
520.295,12.781
520.447,13.156
520.599,13.578
520.752,13.75
520.904,14.156
521.057,15.023
521.209,14.359
521.361,13.742
521.514,13.523
521.666,13.617
521.819,12.453
521.971,12.977
522.123,13.102
522.276,12.789
522.428,11.313
522.581,11.063
522.733,12.539
522.885,14.031
523.038,13.93
523.19,14.664
523.343,12.313
523.495,13.469
